# Created by Octave 4.2.2, Tue Nov 12 21:02:55 2019 CET <oem@lucamachine>
# name: coord
# type: matrix
# rows: 10201
# columns: 2
 0.38 0.16
 0.4 0.16
 0.42 0.16
 0.44 0.16
 0.46 0.16
 0.48 0.16
 0.5 0.16
 0.52 0.16
 0.54 0.16
 0.5600000000000001 0.16
 0.58 0.16
 0.6 0.16
 0.62 0.16
 0.64 0.16
 0.66 0.16
 0.68 0.16
 0.7000000000000001 0.16
 0.72 0.16
 0.74 0.16
 0.76 0.16
 0.78 0.16
 0.8 0.16
 0.8200000000000001 0.16
 0.84 0.16
 0.86 0.16
 0.88 0.16
 0.9 0.16
 0.92 0.16
 0.9400000000000001 0.16
 0.96 0.16
 0.98 0.16
 1 0.16
 0 0.2
 0.02 0.2
 0.04 0.2
 0.06 0.2
 0.08 0.2
 0.1 0.2
 0.12 0.2
 0.14 0.2
 0.16 0.2
 0.18 0.2
 0.2 0.2
 0.22 0.2
 0.24 0.2
 0.26 0.2
 0.28 0.2
 0.3 0.2
 0.32 0.2
 0.34 0.2
 0.36 0.2
 0.38 0.2
 0.4 0.2
 0.42 0.2
 0.44 0.2
 0.46 0.2
 0.48 0.2
 0.5 0.2
 0.52 0.2
 0.54 0.2
 0.5600000000000001 0.2
 0.58 0.2
 0.6 0.2
 0.62 0.2
 0.64 0.2
 0.66 0.2
 0.68 0.2
 0.7000000000000001 0.2
 0.72 0.2
 0.74 0.2
 0.76 0.2
 0.78 0.2
 0.8 0.2
 0.8200000000000001 0.2
 0.84 0.2
 0.86 0.2
 0.88 0.2
 0.9 0.2
 0.92 0.2
 0.9400000000000001 0.2
 0.96 0.2
 0.98 0.2
 1 0.2
 0 0.24
 0.02 0.24
 0.04 0.24
 0.06 0.24
 0.08 0.24
 0.1 0.24
 0.12 0.24
 0.14 0.24
 0.16 0.24
 0.18 0.24
 0.2 0.24
 0.22 0.24
 0.24 0.24
 0.26 0.24
 0.28 0.24
 0.3 0.24
 0.32 0.24
 0.34 0.24
 0.36 0.24
 0.38 0.24
 0.4 0.24
 0.42 0.24
 0.44 0.24
 0.46 0.24
 0.48 0.24
 0.5 0.24
 0.52 0.24
 0.54 0.24
 0.5600000000000001 0.24
 0.58 0.24
 0.6 0.24
 0.62 0.24
 0.64 0.24
 0.66 0.24
 0.68 0.24
 0.7000000000000001 0.24
 0.72 0.24
 0.74 0.24
 0.76 0.24
 0.78 0.24
 0.8 0.24
 0.8200000000000001 0.24
 0.84 0.24
 0.86 0.24
 0.88 0.24
 0.9 0.24
 0.92 0.24
 0.9400000000000001 0.24
 0.96 0.24
 0.98 0.24
 1 0.24
 0 0.28
 0.02 0.28
 0.04 0.28
 0.06 0.28
 0.08 0.28
 0.1 0.28
 0.12 0.28
 0.14 0.28
 0.16 0.28
 0.18 0.28
 0.2 0.28
 0.22 0.28
 0.24 0.28
 0.26 0.28
 0.28 0.28
 0.3 0.28
 0.32 0.28
 0.34 0.28
 0.36 0.28
 0.38 0.28
 0.4 0.28
 0.42 0.28
 0.44 0.28
 0.46 0.28
 0.48 0.28
 0.5 0.28
 0.52 0.28
 0.54 0.28
 0.5600000000000001 0.28
 0.58 0.28
 0.6 0.28
 0.62 0.28
 0.64 0.28
 0.66 0.28
 0.68 0.28
 0.7000000000000001 0.28
 0.72 0.28
 0.74 0.28
 0.76 0.28
 0.78 0.28
 0.8 0.28
 0.8200000000000001 0.28
 0.84 0.28
 0.86 0.28
 0.88 0.28
 0.9 0.28
 0.92 0.28
 0.9400000000000001 0.28
 0.96 0.28
 0.98 0.28
 1 0.28
 0 0.32
 0.02 0.32
 0.04 0.32
 0.06 0.32
 0.08 0.32
 0.1 0.32
 0.12 0.32
 0.14 0.32
 0.16 0.32
 0.18 0.32
 0.2 0.32
 0.22 0.32
 0.24 0.32
 0.26 0.32
 0.28 0.32
 0.3 0.32
 0.32 0.32
 0.34 0.32
 0.36 0.32
 0.38 0.32
 0.4 0.32
 0.42 0.32
 0.44 0.32
 0.46 0.32
 0.48 0.32
 0.5 0.32
 0.52 0.32
 0.54 0.32
 0.5600000000000001 0.32
 0.58 0.32
 0.6 0.32
 0.62 0.32
 0.64 0.32
 0.66 0.32
 0.68 0.32
 0.7000000000000001 0.32
 0.72 0.32
 0.74 0.32
 0.76 0.32
 0.78 0.32
 0.8 0.32
 0.8200000000000001 0.32
 0.84 0.32
 0.86 0.32
 0.88 0.32
 0.9 0.32
 0.92 0.32
 0.9400000000000001 0.32
 0.96 0.32
 0.98 0.32
 1 0.32
 0 0.36
 0.02 0.36
 0.04 0.36
 0.06 0.36
 0.08 0.36
 0.1 0.36
 0.12 0.36
 0.14 0.36
 0.16 0.36
 0.18 0.36
 0.2 0.36
 0.22 0.36
 0.24 0.36
 0.26 0.36
 0.28 0.36
 0.3 0.36
 0.32 0.36
 0.34 0.36
 0.36 0.36
 0.38 0.36
 0.4 0.36
 0.42 0.36
 0.44 0.36
 0.46 0.36
 0.48 0.36
 0.5 0.36
 0.52 0.36
 0.54 0.36
 0.5600000000000001 0.36
 0.58 0.36
 0.6 0.36
 0.62 0.36
 0.64 0.36
 0.66 0.36
 0.68 0.36
 0.7000000000000001 0.36
 0.72 0.36
 0.74 0.36
 0.76 0.36
 0.78 0.36
 0.8 0.36
 0.8200000000000001 0.36
 0.84 0.36
 0.86 0.36
 0.88 0.36
 0.9 0.36
 0.92 0.36
 0.9400000000000001 0.36
 0.96 0.36
 0.98 0.36
 1 0.36
 0 0.4
 0.02 0.4
 0.04 0.4
 0.06 0.4
 0.08 0.4
 0.1 0.4
 0.12 0.4
 0.14 0.4
 0.16 0.4
 0.18 0.4
 0.2 0.4
 0.22 0.4
 0.24 0.4
 0.26 0.4
 0.28 0.4
 0.3 0.4
 0.32 0.4
 0.34 0.4
 0.36 0.4
 0.38 0.4
 0.4 0.4
 0.42 0.4
 0.44 0.4
 0.46 0.4
 0.48 0.4
 0.5 0.4
 0.52 0.4
 0.54 0.4
 0.5600000000000001 0.4
 0.58 0.4
 0.6 0.4
 0.62 0.4
 0.64 0.4
 0.66 0.4
 0.68 0.4
 0.7000000000000001 0.4
 0.72 0.4
 0.74 0.4
 0.76 0.4
 0.78 0.4
 0.8 0.4
 0.8200000000000001 0.4
 0.84 0.4
 0.86 0.4
 0.88 0.4
 0.9 0.4
 0.92 0.4
 0.9400000000000001 0.4
 0.96 0.4
 0.98 0.4
 1 0.4
 0 0.44
 0.02 0.44
 0.04 0.44
 0.06 0.44
 0.08 0.44
 0.1 0.44
 0.12 0.44
 0.14 0.44
 0.16 0.44
 0.18 0.44
 0.2 0.44
 0.22 0.44
 0.24 0.44
 0.26 0.44
 0.28 0.44
 0.3 0.44
 0.32 0.44
 0.34 0.44
 0.36 0.44
 0.38 0.44
 0.4 0.44
 0.42 0.44
 0.44 0.44
 0.46 0.44
 0.48 0.44
 0.5 0.44
 0.52 0.44
 0.54 0.44
 0.5600000000000001 0.44
 0.58 0.44
 0.6 0.44
 0.62 0.44
 0.64 0.44
 0.66 0.44
 0.68 0.44
 0.7000000000000001 0.44
 0.72 0.44
 0.74 0.44
 0.76 0.44
 0.78 0.44
 0.8 0.44
 0.8200000000000001 0.44
 0.84 0.44
 0.86 0.44
 0.88 0.44
 0.9 0.44
 0.92 0.44
 0.9400000000000001 0.44
 0.96 0.44
 0.98 0.44
 1 0.44
 0 0.48
 0.02 0.48
 0.04 0.48
 0.06 0.48
 0.08 0.48
 0.1 0.48
 0.12 0.48
 0.14 0.48
 0.16 0.48
 0.18 0.48
 0.2 0.48
 0.22 0.48
 0.24 0.48
 0.26 0.48
 0.28 0.48
 0.3 0.48
 0.32 0.48
 0.34 0.48
 0.36 0.48
 0.38 0.48
 0.4 0.48
 0.42 0.48
 0.44 0.48
 0.46 0.48
 0.48 0.48
 0.5 0.48
 0.52 0.48
 0.54 0.48
 0.5600000000000001 0.48
 0.58 0.48
 0.6 0.48
 0.62 0.48
 0.64 0.48
 0.66 0.48
 0.68 0.48
 0.7000000000000001 0.48
 0.72 0.48
 0.74 0.48
 0.76 0.48
 0.78 0.48
 0.8 0.48
 0.8200000000000001 0.48
 0.84 0.48
 0.86 0.48
 0.88 0.48
 0.9 0.48
 0.92 0.48
 0.9400000000000001 0.48
 0.96 0.48
 0.98 0.48
 1 0.48
 0 0.52
 0.02 0.52
 0.04 0.52
 0.06 0.52
 0.08 0.52
 0.1 0.52
 0.12 0.52
 0.14 0.52
 0.16 0.52
 0.18 0.52
 0.2 0.52
 0.22 0.52
 0.24 0.52
 0.26 0.52
 0.28 0.52
 0.3 0.52
 0.32 0.52
 0.34 0.52
 0.36 0.52
 0.38 0.52
 0.4 0.52
 0.42 0.52
 0.44 0.52
 0.46 0.52
 0.48 0.52
 0.5 0.52
 0.52 0.52
 0.54 0.52
 0.5600000000000001 0.52
 0.58 0.52
 0.6 0.52
 0.62 0.52
 0.64 0.52
 0.66 0.52
 0.68 0.52
 0.7000000000000001 0.52
 0.72 0.52
 0.74 0.52
 0.76 0.52
 0.78 0.52
 0.8 0.52
 0.8200000000000001 0.52
 0.84 0.52
 0.86 0.52
 0.88 0.52
 0.9 0.52
 0.92 0.52
 0.9400000000000001 0.52
 0.96 0.52
 0.98 0.52
 1 0.52
 0 0.5600000000000001
 0.02 0.5600000000000001
 0.04 0.5600000000000001
 0.06 0.5600000000000001
 0.08 0.5600000000000001
 0.1 0.5600000000000001
 0.12 0.5600000000000001
 0.14 0.5600000000000001
 0.16 0.5600000000000001
 0.18 0.5600000000000001
 0.2 0.5600000000000001
 0.22 0.5600000000000001
 0.24 0.5600000000000001
 0.26 0.5600000000000001
 0.28 0.5600000000000001
 0.3 0.5600000000000001
 0.32 0.5600000000000001
 0.34 0.5600000000000001
 0.36 0.5600000000000001
 0.38 0.5600000000000001
 0.4 0.5600000000000001
 0.42 0.5600000000000001
 0.44 0.5600000000000001
 0.46 0.5600000000000001
 0.48 0.5600000000000001
 0.5 0.5600000000000001
 0.52 0.5600000000000001
 0.54 0.5600000000000001
 0.5600000000000001 0.5600000000000001
 0.58 0.5600000000000001
 0.6 0.5600000000000001
 0.62 0.5600000000000001
 0.64 0.5600000000000001
 0.66 0.5600000000000001
 0.68 0.5600000000000001
 0.7000000000000001 0.5600000000000001
 0.72 0.5600000000000001
 0.74 0.5600000000000001
 0.76 0.5600000000000001
 0.78 0.5600000000000001
 0.8 0.5600000000000001
 0.8200000000000001 0.5600000000000001
 0.84 0.5600000000000001
 0.86 0.5600000000000001
 0.88 0.5600000000000001
 0.9 0.5600000000000001
 0.92 0.5600000000000001
 0.9400000000000001 0.5600000000000001
 0.96 0.5600000000000001
 0.98 0.5600000000000001
 1 0.5600000000000001
 0 0.6
 0.02 0.6
 0.04 0.6
 0.06 0.6
 0.08 0.6
 0.1 0.6
 0.12 0.6
 0.14 0.6
 0.16 0.6
 0.18 0.6
 0.2 0.6
 0.22 0.6
 0.24 0.6
 0.26 0.6
 0.28 0.6
 0.3 0.6
 0.32 0.6
 0.34 0.6
 0.36 0.6
 0.38 0.6
 0.4 0.6
 0.42 0.6
 0.44 0.6
 0.46 0.6
 0.48 0.6
 0.5 0.6
 0.52 0.6
 0.54 0.6
 0.5600000000000001 0.6
 0.58 0.6
 0.6 0.6
 0.62 0.6
 0.64 0.6
 0.66 0.6
 0.68 0.6
 0.7000000000000001 0.6
 0.72 0.6
 0.74 0.6
 0.76 0.6
 0.78 0.6
 0.8 0.6
 0.8200000000000001 0.6
 0.84 0.6
 0.86 0.6
 0.88 0.6
 0.9 0.6
 0.92 0.6
 0.9400000000000001 0.6
 0.96 0.6
 0.98 0.6
 1 0.6
 0 0.64
 0.02 0.64
 0.04 0.64
 0.06 0.64
 0.08 0.64
 0.1 0.64
 0.12 0.64
 0.14 0.64
 0.16 0.64
 0.18 0.64
 0.2 0.64
 0.22 0.64
 0.24 0.64
 0.26 0.64
 0.28 0.64
 0.3 0.64
 0.32 0.64
 0.34 0.64
 0.36 0.64
 0.38 0.64
 0.4 0.64
 0.42 0.64
 0.44 0.64
 0.46 0.64
 0.48 0.64
 0.5 0.64
 0.52 0.64
 0.54 0.64
 0.5600000000000001 0.64
 0.58 0.64
 0.6 0.64
 0.62 0.64
 0.64 0.64
 0.66 0.64
 0.68 0.64
 0.7000000000000001 0.64
 0.72 0.64
 0.74 0.64
 0.76 0.64
 0.78 0.64
 0.8 0.64
 0.8200000000000001 0.64
 0.84 0.64
 0.86 0.64
 0.88 0.64
 0.9 0.64
 0.92 0.64
 0.9400000000000001 0.64
 0.96 0.64
 0.98 0.64
 1 0.64
 0 0.68
 0.02 0.68
 0.04 0.68
 0.06 0.68
 0.08 0.68
 0.1 0.68
 0.12 0.68
 0.14 0.68
 0.16 0.68
 0.18 0.68
 0.2 0.68
 0.22 0.68
 0.24 0.68
 0.26 0.68
 0.28 0.68
 0.3 0.68
 0.32 0.68
 0.34 0.68
 0.36 0.68
 0.38 0.68
 0.4 0.68
 0.42 0.68
 0.44 0.68
 0.46 0.68
 0.48 0.68
 0.5 0.68
 0.52 0.68
 0.54 0.68
 0.5600000000000001 0.68
 0.58 0.68
 0.6 0.68
 0.62 0.68
 0.64 0.68
 0.66 0.68
 0.68 0.68
 0.7000000000000001 0.68
 0.72 0.68
 0.74 0.68
 0.76 0.68
 0.78 0.68
 0.8 0.68
 0.8200000000000001 0.68
 0.84 0.68
 0.86 0.68
 0.88 0.68
 0.9 0.68
 0.92 0.68
 0.9400000000000001 0.68
 0.96 0.68
 0.98 0.68
 1 0.68
 0 0.72
 0.02 0.72
 0.04 0.72
 0.06 0.72
 0.08 0.72
 0.1 0.72
 0.12 0.72
 0.14 0.72
 0.16 0.72
 0.18 0.72
 0.2 0.72
 0.22 0.72
 0.24 0.72
 0.26 0.72
 0.28 0.72
 0.3 0.72
 0.32 0.72
 0.34 0.72
 0.36 0.72
 0.38 0.72
 0.4 0.72
 0.42 0.72
 0.44 0.72
 0.46 0.72
 0.48 0.72
 0.5 0.72
 0.52 0.72
 0.54 0.72
 0.5600000000000001 0.72
 0.58 0.72
 0.6 0.72
 0.62 0.72
 0.64 0.72
 0.66 0.72
 0.68 0.72
 0.7000000000000001 0.72
 0.72 0.72
 0.74 0.72
 0.76 0.72
 0.78 0.72
 0.8 0.72
 0.8200000000000001 0.72
 0.84 0.72
 0.86 0.72
 0.88 0.72
 0.9 0.72
 0.92 0.72
 0.9400000000000001 0.72
 0.96 0.72
 0.98 0.72
 1 0.72
 0 0.76
 0.02 0.76
 0.04 0.76
 0.06 0.76
 0.08 0.76
 0.1 0.76
 0.12 0.76
 0.14 0.76
 0.16 0.76
 0.18 0.76
 0.2 0.76
 0.22 0.76
 0.24 0.76
 0.26 0.76
 0.28 0.76
 0.3 0.76
 0.32 0.76
 0.34 0.76
 0.36 0.76
 0.38 0.76
 0.4 0.76
 0.42 0.76
 0.44 0.76
 0.46 0.76
 0.48 0.76
 0.5 0.76
 0.52 0.76
 0.54 0.76
 0.5600000000000001 0.76
 0.58 0.76
 0.6 0.76
 0.62 0.76
 0.64 0.76
 0.66 0.76
 0.68 0.76
 0.7000000000000001 0.76
 0.72 0.76
 0.74 0.76
 0.76 0.76
 0.78 0.76
 0.8 0.76
 0.8200000000000001 0.76
 0.84 0.76
 0.86 0.76
 0.88 0.76
 0.9 0.76
 0.92 0.76
 0.9400000000000001 0.76
 0.96 0.76
 0.98 0.76
 1 0.76
 0 0.8
 0.02 0.8
 0.04 0.8
 0.06 0.8
 0.08 0.8
 0.1 0.8
 0.12 0.8
 0.14 0.8
 0.16 0.8
 0.18 0.8
 0.2 0.8
 0.22 0.8
 0.24 0.8
 0.26 0.8
 0.28 0.8
 0.3 0.8
 0.32 0.8
 0.34 0.8
 0.36 0.8
 0.38 0.8
 0.4 0.8
 0.42 0.8
 0.44 0.8
 0.46 0.8
 0.48 0.8
 0.5 0.8
 0.52 0.8
 0.54 0.8
 0.5600000000000001 0.8
 0.58 0.8
 0.6 0.8
 0.62 0.8
 0.64 0.8
 0.66 0.8
 0.68 0.8
 0.7000000000000001 0.8
 0.72 0.8
 0.74 0.8
 0.76 0.8
 0.78 0.8
 0.8 0.8
 0.8200000000000001 0.8
 0.84 0.8
 0.86 0.8
 0.88 0.8
 0.9 0.8
 0.92 0.8
 0.9400000000000001 0.8
 0.96 0.8
 0.98 0.8
 1 0.8
 0 0.84
 0.02 0.84
 0.04 0.84
 0.06 0.84
 0.08 0.84
 0.1 0.84
 0.12 0.84
 0.14 0.84
 0.16 0.84
 0.18 0.84
 0.2 0.84
 0.22 0.84
 0.24 0.84
 0.26 0.84
 0.28 0.84
 0.3 0.84
 0.32 0.84
 0.34 0.84
 0.36 0.84
 0.38 0.84
 0.4 0.84
 0.42 0.84
 0.44 0.84
 0.46 0.84
 0.48 0.84
 0.5 0.84
 0.52 0.84
 0.54 0.84
 0.5600000000000001 0.84
 0.58 0.84
 0.6 0.84
 0.62 0.84
 0.64 0.84
 0.66 0.84
 0.68 0.84
 0.7000000000000001 0.84
 0.72 0.84
 0.74 0.84
 0.76 0.84
 0.78 0.84
 0.8 0.84
 0.8200000000000001 0.84
 0.84 0.84
 0.86 0.84
 0.88 0.84
 0.9 0.84
 0.92 0.84
 0.9400000000000001 0.84
 0.96 0.84
 0.98 0.84
 1 0.84
 0 0.88
 0.02 0.88
 0.04 0.88
 0.06 0.88
 0.08 0.88
 0.1 0.88
 0.12 0.88
 0.14 0.88
 0.16 0.88
 0.18 0.88
 0.2 0.88
 0.22 0.88
 0.24 0.88
 0.26 0.88
 0.28 0.88
 0.3 0.88
 0.32 0.88
 0.34 0.88
 0.36 0.88
 0.38 0.88
 0.4 0.88
 0.42 0.88
 0.44 0.88
 0.46 0.88
 0.48 0.88
 0.5 0.88
 0.52 0.88
 0.54 0.88
 0.5600000000000001 0.88
 0.58 0.88
 0.6 0.88
 0.62 0.88
 0.64 0.88
 0.66 0.88
 0.68 0.88
 0.7000000000000001 0.88
 0.72 0.88
 0.74 0.88
 0.76 0.88
 0.78 0.88
 0.8 0.88
 0.8200000000000001 0.88
 0.84 0.88
 0.86 0.88
 0.88 0.88
 0.9 0.88
 0.92 0.88
 0.9400000000000001 0.88
 0.96 0.88
 0.98 0.88
 1 0.88
 0 0.92
 0.02 0.92
 0.04 0.92
 0.06 0.92
 0.08 0.92
 0.1 0.92
 0.12 0.92
 0.14 0.92
 0.16 0.92
 0.18 0.92
 0.2 0.92
 0.22 0.92
 0.24 0.92
 0.26 0.92
 0.28 0.92
 0.3 0.92
 0.32 0.92
 0.34 0.92
 0.36 0.92
 0.38 0.92
 0.4 0.92
 0.42 0.92
 0.44 0.92
 0.46 0.92
 0.48 0.92
 0.5 0.92
 0.52 0.92
 0.54 0.92
 0.5600000000000001 0.92
 0.58 0.92
 0.6 0.92
 0.62 0.92
 0.64 0.92
 0.66 0.92
 0.68 0.92
 0.7000000000000001 0.92
 0.72 0.92
 0.74 0.92
 0.76 0.92
 0.78 0.92
 0.8 0.92
 0.8200000000000001 0.92
 0.84 0.92
 0.86 0.92
 0.88 0.92
 0.9 0.92
 0.92 0.92
 0.9400000000000001 0.92
 0.96 0.92
 0.98 0.92
 1 0.92
 0 0.96
 0.02 0.96
 0.04 0.96
 0.06 0.96
 0.08 0.96
 0.1 0.96
 0.12 0.96
 0.14 0.96
 0.16 0.96
 0.18 0.96
 0.2 0.96
 0.22 0.96
 0.24 0.96
 0.26 0.96
 0.28 0.96
 0.3 0.96
 0.32 0.96
 0.34 0.96
 0.36 0.96
 0.38 0.96
 0.4 0.96
 0.42 0.96
 0.44 0.96
 0.46 0.96
 0.48 0.96
 0.5 0.96
 0.52 0.96
 0.54 0.96
 0.5600000000000001 0.96
 0.58 0.96
 0.6 0.96
 0.62 0.96
 0.64 0.96
 0.66 0.96
 0.68 0.96
 0.7000000000000001 0.96
 0.72 0.96
 0.74 0.96
 0.76 0.96
 0.78 0.96
 0.8 0.96
 0.8200000000000001 0.96
 0.84 0.96
 0.86 0.96
 0.88 0.96
 0.9 0.96
 0.92 0.96
 0.9400000000000001 0.96
 0.96 0.96
 0.98 0.96
 1 0.96
 0 1
 0.02 1
 0.04 1
 0.06 1
 0.08 1
 0.1 1
 0.12 1
 0.14 1
 0.16 1
 0.18 1
 0.2 1
 0.22 1
 0.24 1
 0.26 1
 0.28 1
 0.3 1
 0.32 1
 0.34 1
 0.36 1
 0.38 1
 0.4 1
 0.42 1
 0.44 1
 0.46 1
 0.48 1
 0.5 1
 0.52 1
 0.54 1
 0.5600000000000001 1
 0.58 1
 0.6 1
 0.62 1
 0.64 1
 0.66 1
 0.68 1
 0.7000000000000001 1
 0.72 1
 0.74 1
 0.76 1
 0.78 1
 0.8 1
 0.8200000000000001 1
 0.84 1
 0.86 1
 0.88 1
 0.9 1
 0.92 1
 0.9400000000000001 1
 0.96 1
 0.98 1
 1 1
 0 1.04
 0.02 1.04
 0.04 1.04
 0.06 1.04
 0.08 1.04
 0.1 1.04
 0.12 1.04
 0.14 1.04
 0.16 1.04
 0.18 1.04
 0.2 1.04
 0.22 1.04
 0.24 1.04
 0.26 1.04
 0.28 1.04
 0.3 1.04
 0.32 1.04
 0.34 1.04
 0.36 1.04
 0.38 1.04
 0.4 1.04
 0.42 1.04
 0.44 1.04
 0.46 1.04
 0.48 1.04
 0.5 1.04
 0.52 1.04
 0.54 1.04
 0.5600000000000001 1.04
 0.58 1.04
 0.6 1.04
 0.62 1.04
 0.64 1.04
 0.66 1.04
 0.68 1.04
 0.7000000000000001 1.04
 0.72 1.04
 0.74 1.04
 0.76 1.04
 0.78 1.04
 0.8 1.04
 0.8200000000000001 1.04
 0.84 1.04
 0.86 1.04
 0.88 1.04
 0.9 1.04
 0.92 1.04
 0.9400000000000001 1.04
 0.96 1.04
 0.98 1.04
 1 1.04
 0 1.08
 0.02 1.08
 0.04 1.08
 0.06 1.08
 0.08 1.08
 0.1 1.08
 0.12 1.08
 0.14 1.08
 0.16 1.08
 0.18 1.08
 0.2 1.08
 0.22 1.08
 0.24 1.08
 0.26 1.08
 0.28 1.08
 0.3 1.08
 0.32 1.08
 0.34 1.08
 0.36 1.08
 0.38 1.08
 0.4 1.08
 0.42 1.08
 0.44 1.08
 0.46 1.08
 0.48 1.08
 0.5 1.08
 0.52 1.08
 0.54 1.08
 0.5600000000000001 1.08
 0.58 1.08
 0.6 1.08
 0.62 1.08
 0.64 1.08
 0.66 1.08
 0.68 1.08
 0.7000000000000001 1.08
 0.72 1.08
 0.74 1.08
 0.76 1.08
 0.78 1.08
 0.8 1.08
 0.8200000000000001 1.08
 0.84 1.08
 0.86 1.08
 0.88 1.08
 0.9 1.08
 0.92 1.08
 0.9400000000000001 1.08
 0.96 1.08
 0.98 1.08
 1 1.08
 0 1.12
 0.02 1.12
 0.04 1.12
 0.06 1.12
 0.08 1.12
 0.1 1.12
 0.12 1.12
 0.14 1.12
 0.16 1.12
 0.18 1.12
 0.2 1.12
 0.22 1.12
 0.24 1.12
 0.26 1.12
 0.28 1.12
 0.3 1.12
 0.32 1.12
 0.34 1.12
 0.36 1.12
 0.38 1.12
 0.4 1.12
 0.42 1.12
 0.44 1.12
 0.46 1.12
 0.48 1.12
 0.5 1.12
 0.52 1.12
 0.54 1.12
 0.5600000000000001 1.12
 0.58 1.12
 0.6 1.12
 0.62 1.12
 0.64 1.12
 0.66 1.12
 0.68 1.12
 0.7000000000000001 1.12
 0.72 1.12
 0.74 1.12
 0.76 1.12
 0.78 1.12
 0.8 1.12
 0.8200000000000001 1.12
 0.84 1.12
 0.86 1.12
 0.88 1.12
 0.9 1.12
 0.92 1.12
 0.9400000000000001 1.12
 0.96 1.12
 0.98 1.12
 1 1.12
 0 1.16
 0.02 1.16
 0.04 1.16
